#ID;TITLE;DISCOUNT PRICE;FULL PRICE;STARS
248035932;Избранница теней (#1) Эксмо;482;740;5.0
172065722;Последний король драконов (#1) Эксмо;485;745;5.0
370773704;Холод туманного замка Эксмо;486;746;5.0
506012114;Любимая помощница инквизитора Эксмо;490;753;5.0
451837091;Лисьи чары, или Легенды об оборотнях Эксмо;491;755;5.0
280325447;Шаровая молния Эксмо;491;755;4.8
325760177;Высшая каста Эксмо;492;757;5.0
41266770;Город акул (#3) Эксмо;497;765;5.0
506028273;Кромешник и его светлое чудо Эксмо;497;765;4.9
119132807;Прелюдия к Академии Эксмо;499;767;5.0
261060016;Шалости богини зимы Эксмо;501;770;5.0
449579537;Темный феникс Эксмо;501;771;5.0
225247592;Книги фэнтези. Защитники драконов. Питбуль возвращается Издательство АСТ;503;1106;5.0
237117557;Книги фэнтези. Защитники драконов. Незнакомое место Издательство АСТ;503;1106;5.0
313112332;Полуночный охотник Эксмо;508;781;4.9
5789949;Академия Эксмо;515;792;5.0
395627395;Шёпот Морены Эксмо;515;792;4.9
12611542;Фэнтези. Ангельская сага. Гнев ангелов (#2) Эксмо;517;794;5.0
206272073;Мальн. Наследие древних (#2) Эксмо;517;794;5.0
123556265;Ядовитый друг (#7) Эксмо;522;803;5.0
417098633;Небовзор Маргарита Блинова Фэнтези книга Эксмо;524;805;4.9
200778525;Плюшевая голова Эксмо;525;807;5.0
176680354;Звёздный свет (#3) Эксмо;535;822;5.0
10229122;Дом соли и печали. Книги романы, фэнтези, для подростков Издательство CLEVER;543;965;4.9
230652897;Поцелуй смерти Издательство АСТ;543;1193;4.9
271436849;Прикосновение смерти Издательство АСТ;543;1193;4.9
181385269;Кристофер Клин и два короля. Дополненное переиздание Издательство АСТ;543;1193;5.0
307748445;Волшебница по привычке Эксмо;543;835;5.0
466303575;Дипломированная нечисть Эксмо;543;835;4.9
467007672;Кащеево царство. Преступление Эксмо;543;836;5.0
288345534;Школа стихий. Фэнтези для подростков Эксмо;544;837;4.8
2719316;Сильмариллион Издательство АСТ;544;1195;4.9
529567297;Пепел феникса Эксмо;549;844;5.0
496439192;По ту сторону стены Фэнтези книги Издательство Феникс;554;2173;5.0
330533348;Искуситель Издательство АСТ;562;1234;4.8
234546986;Эпоха Мертвых-3. Прорыв Эксмо;563;866;5.0
307751107;Темное заклинание для лорда Эксмо;566;870;5.0
292437691;Технопат Маргарита Блинова Фэнтези книга Эксмо;566;870;5.0
498770113;Ночная охота Эксмо;567;871;5.0
120584202;Республика Дракон Эксмо;567;872;5.0
8121467;Танец с драконами. Грезы и пыль Издательство АСТ;569;1367;5.0
235851807;Трон змей (#3) Эксмо;577;887;4.7
284412219;Легенды Эоса. Украденная душа Эксмо;583;896;5.0
3273249;Драконья сага. Потерянная принцесса Издательство АСТ;583;1280;5.0
9516847;Драконья сага. Трёхлунная ночь Издательство АСТ;583;1280;5.0
4344716;Драконья сага. Мрачная тайна Издательство АСТ;583;1280;5.0
11901081;Драконья сага. Восхождение Луны Издательство АСТ;583;1280;5.0
12066086;Затерянный мир Издательство АСТ;583;1280;4.9
9516881;Драконья сага. Сердце Холода Издательство АСТ;583;1280;5.0
2990232;Драконья сага. Пророчество о драконятах Издательство АСТ;583;1280;5.0
3832102;Драконья сага. Скрытое королевство Издательство АСТ;583;1280;5.0
221464658;Паучье княжество Эксмо;591;909;5.0
8468790;Крах и восход Издательство АСТ;605;1329;5.0
175808357;Скандар. Похититель единорогов (#1) Эксмо;606;931;4.9
520734663;Варяг. Архонт Росский Эксмо;609;936;4.9
38122970;Закон Черного сталкера Издательство АСТ;623;1367;4.9
451159848;Тени богов Пороки. Фэнтези Эксмо;623;957;5.0
255305433;Агент тьмы (#3). Фэнтезийный детектив-триллер Эксмо;623;957;5.0
467009770;Смотрительница замка Грабон Эксмо;623;957;5.0
2281022;Танец с драконами Искры над пеплом Издательство АСТ;623;1367;5.0
109775828;На пути к Академии Эксмо;623;957;4.9
120952709;Высшая академия фэнтези Эксмо;638;981;4.9
180523794;Книга сокровищ – сборник рассказов русского фэнтези, 16+ Снежный Ком М;640;1200;4.8
218056540;Этюд багровых вод Эксмо;646;993;4.9
214192333;Ледяная колыбель Эксмо;646;993;4.9
367375350;Дом некромантов (#2) Эксмо;662;1018;5.0
8162176;Шестерка воронов Издательство АСТ;662;1454;4.9
167190064;Клуб Романтики. Секрет небес. Яблоко Раздора Издательство АСТ;662;1454;4.9
137567115;Убить некроманта Эксмо;676;1038;4.9
8121466;Пир стервятников Издательство АСТ;685;1503;5.0
178343453;Золотые анклавы Эксмо;686;1053;4.9
8230381;Продажное королевство Издательство АСТ;686;1504;5.0
59363158;"Проект ""Аве Мария"" Издательство АСТ";686;1504;4.9
9516904;Игра престолов Издательство АСТ;702;1541;4.9
8121465;Битва королей Издательство АСТ;702;1541;4.9
9516892;Буря мечей Издательство АСТ;702;1541;4.9
347336754;Мефодий Буслаев. Огненные врата. Книга Семи Дорог (#15, 16) Эксмо;711;1093;5.0
262936371;Плата за мир. Сокровище Змея Эксмо;725;1114;4.9
235443365;Самая страшная книга. Заступа Все оттенки падали Издательство АСТ;741;1628;4.9
425202851;Самая страшная книга. Знаток Узы Пекла Издательство АСТ;741;1628;5.0
155793989;Королевская кровь. Проклятый трон. Связанные судьбы Эксмо;756;1162;5.0
9516849;Орудия смерти. Город праха книга 2 Издательство АСТ;764;1677;5.0
312611505;Самая страшная книга. Заступа Чернее черного Издательство АСТ;767;1684;5.0
253176920;Поиски утраченного завтра Издательство АСТ;767;1684;5.0
346305362;Черный ксеноархеолог Издательство АСТ;786;1727;4.9
208423701;Хроники Сиалы. Крадущийся в тени. Том 1 Alpaca;801;1500;4.9
294417471;Битва за Лукоморье. Книга 3 Эксмо;814;1250;5.0
459983950;Твоя далекая звезда Эксмо;855;1314;5.0
490315177;Испивший тьмы Эксмо;924;1419;4.9
6953104;Хоббит Издательство АСТ;945;2075;5.0
447028860;Ересь Хоруса. Расплата Хтонии Warhammer;980;1650;5.0
